osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2524214,858,510,"Aeropuerto Internacional de Carrasco",CA,,-2524214,aeropuerto.internacional.carrasco,UY-CA-AeropuertoInternacionalCarrasco,,"{""area_sr"": 0.0009, ""area_km2"": 9, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 3, ""side_estim_deg"": 0.0299, ""elongation_factor"": 1.43}"
2524429,858,493,"Aguas Corrientes",CA,ACS,397975,aguas.corrientes,UY-CA-AguasCorrientes,,"{""area_sr"": 0.00019, ""area_km2"": 2, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.4, ""side_estim_deg"": 0.0137, ""elongation_factor"": 1.87}"
2524615,858,45,Araminda,CA,,-2524615,araminda,UY-CA-Araminda,,"{""area_sr"": 0.00017, ""area_km2"": 2, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.3, ""side_estim_deg"": 0.013, ""elongation_factor"": 1.02}"
2524673,858,108,Argentino,CA,,-2524673,argentino,UY-CA-Argentino,,"{""area_sr"": 0.00037, ""area_km2"": 4, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.9, ""side_estim_deg"": 0.0191, ""elongation_factor"": 1.26}"
2527673,858,55,Atlántida,CA,,-2527673,atlantida,UY-CA-Atlantida,,"{""area_sr"": 0.00049, ""area_km2"": 5, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 2.2, ""side_estim_deg"": 0.022, ""elongation_factor"": 1.95}"
2564503,858,506,"Barrio Cópola",CA,BCA,4863727,barrio.copola,UY-CA-BarrioCopola,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.0044, ""elongation_factor"": 2.15}"
2564530,858,477,"Barrio La Lucha",CA,BLL,808948,barrio.lucha,UY-CA-BarrioLucha,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0032, ""elongation_factor"": 1.31}"
2564587,858,489,"Barrio Remanso",CA,,-2564587,barrio.remanso,UY-CA-BarrioRemanso,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0029, ""elongation_factor"": 0.86}"
2564867,858,69,"Barros Blancos",CA,BBS,6027170,barros.blancos,UY-CA-BarrosBlancos,,"{""area_sr"": 0.00208, ""area_km2"": 21, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 4.6, ""side_estim_deg"": 0.0456, ""elongation_factor"": 2.37}"
2529519,858,50,"Bello Horizonte",CA,,-2529519,bello.horizonte,UY-CA-BelloHorizonte,,"{""area_sr"": 0.00042, ""area_km2"": 4, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0205, ""elongation_factor"": 1.24}"
