osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3638334,858,31,Aceguá,CL,,-3638334,acegua,UY-CL-Acegua,,
3640485,858,262,Arachania,CL,,-3640485,arachania,UY-CL-Arachania,,
3640638,858,261,Arbolito,CL,,-3640638,arbolito,UY-CL-Arbolito,,
3672061,858,273,Arévalo,CL,,-3672061,arevalo,UY-CL-Arevalo,,
3683544,858,256,"Barrio López Benítez",CL,BLB,808946,barrio.lopez.benitez,UY-CL-BarrioLopezBenitez,,
3678016,858,255,"Bañado de Medina",CL,BDM,91785836,banado.medina,UY-CL-BanadoMedina,,
4024839,858,249,"Caserío Las Cañas",CL,,-4024839,caserio.canas,UY-CL-CaserioCanas,,
4097489,858,250,Centurión,CL,,-4097489,centurion,UY-CL-Centurion,,
3678466,858,268,"Cerro de las Cuentas",CL,CCS,91786788,cerro.cuentas,UY-CL-CerroCuentas,,
4092330,858,265,Esperanza,CL,,-4092330,esperanza,UY-CL-Esperanza,,
3678073,858,270,"Fraile Muerto",CL,,-3678073,fraile.muerto,UY-CL-FraileMuerto,,
4097578,858,246,"Getulio Vargas",CL,,-4097578,getulio.vargas,UY-CL-GetulioVargas,,
3683545,858,257,Hipódromo,CL,HMO,1455608,hipodromo,UY-CL-Hipodromo,,
3708329,858,32,"Isidoro Noblía",CL,INA,1673970,isidoro.noblia,UY-CL-IsidoroNoblia,,
4029081,858,259,"La Pedrera",CL,,-4029081,la.pedrera,UY-CL-LaPedrera,,
3818681,858,247,"Lago Merín",CL,,-3818681,lago.merin,UY-CL-LagoMerin,,
4028483,858,251,Mangrullo,CL,,-4028483,mangrullo,UY-CL-Mangrullo,,
4095068,858,260,Melo,CL,MLO,738250,melo,UY-CL-Melo,,
4028727,858,252,Nando,CL,,-4028727,nando,UY-CL-Nando,,
4025029,858,243,"Plácido Rosas",CL,PRS,1005797,placido.rosas,UY-CL-PlacidoRosas,,
4095386,858,272,Quebracho,CL,,-4095386,quebracho,UY-CL-Quebracho,,
4025794,858,254,"Ramón Trigo",CL,RTO,1007583,ramon.trigo,UY-CL-RamonTrigo,,
3851138,858,248,"Río Branco",CL,RBO,1006165,rio.branco,UY-CL-RioBranco,,
4028443,858,33,"Soto Goro",CL,,-4028443,soto.goro,UY-CL-SotoGoro,,
3678174,858,269,Toledo,CL,,-3678174,toledo,UY-CL-Toledo,,
4025322,858,271,"Tres Islas",CL,TIS,91787433,tres.islas,UY-CL-TresIslas,,
3678623,858,267,Tupambaé,CL,,-3678623,tupambae,UY-CL-Tupambae,,
4097190,858,245,Uruguay,CL,,-4097190,uruguay,UY-CL-Uruguay,,
3640604,858,263,Ñangapiré,CL,,-3640604,nangapire,UY-CL-Nangapire,,
