osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2745728,858,387,Agraciada,CO,ADA,-2745728,agraciada,UY-CO-Agraciada,,"{""area_sr"": 0.00003, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.0051, ""elongation_factor"": 2.02}"
2745788,858,432,Arrivillaga,CO,ALL,700196,arrivillaga,UY-CO-Arrivillaga,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0026, ""elongation_factor"": 0.63}"
2746033,858,403,Artilleros,CO,,-2746033,artilleros,UY-CO-Artilleros,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.6, ""side_estim_deg"": 0.006, ""elongation_factor"": 1.67}"
2746953,858,419,Barker,CO,,-2746953,barker,UY-CO-Barker,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.0049, ""elongation_factor"": 2.51}"
2747046,858,429,"Blanca Arena",CO,,-2747046,blanca.arena,UY-CO-BlancaArena,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.6, ""side_estim_deg"": 0.0062, ""elongation_factor"": 1.5}"
3625397,858,430,"Boca del Rosario",CO,,-3625397,boca.rosario,UY-CO-BocaRosario,,"{""area_sr"": 0.00003, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.0051, ""elongation_factor"": 1.66}"
2747155,858,435,"Brisas del Plata",CO,,-2747155,brisas.plata,UY-CO-BrisasPlata,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.0048, ""elongation_factor"": 1.6}"
2805255,858,428,Britópolis,CO,,-2805255,britopolis,UY-CO-Britopolis,,"{""area_sr"": 0.00007, ""area_km2"": 1, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.9, ""side_estim_deg"": 0.0085, ""elongation_factor"": 1.55}"
2747252,858,413,Campana,CO,,-2747252,campana,UY-CO-Campana,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.0049, ""elongation_factor"": 2.57}"
2757912,858,382,Carmelo,CO,,-2757912,carmelo,UY-CO-Carmelo,,"{""area_sr"": 0.00117, ""area_km2"": 12, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 3.5, ""side_estim_deg"": 0.0342, ""elongation_factor"": 2.54}"
3624953,858,381,"Cerro Carmelo",CO,,-3624953,cerro.carmelo,UY-CO-CerroCarmelo,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0034, ""elongation_factor"": 0.99}"
2759219,858,425,"Chico Torino",CO,,-2759219,chico.torino,UY-CO-ChicoTorino,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0033, ""elongation_factor"": 1.71}"
2759248,858,431,"Colonia Cosmopolita",CO,,-2759248,colonia.cosmopolita,UY-CO-ColoniaCosmopolita,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.0038, ""elongation_factor"": 2.15}"
2868034,858,422,"Colonia Valdense",CO,CVE,1110810,colonia.valdense,UY-CO-ColoniaValdense,,"{""area_sr"": 0.00064, ""area_km2"": 6, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 2.5, ""side_estim_deg"": 0.0252, ""elongation_factor"": 1.01}"
2862754,858,400,"Colonia del Sacramento",CO,CDS,56064,colonia.sacramento,UY-CO-ColoniaSacramento,,"{""area_sr"": 0.00213, ""area_km2"": 22, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 4.7, ""side_estim_deg"": 0.0462, ""elongation_factor"": 3.14}"
2871710,858,397,Conchillas,CO,CCH,1004035,conchillas,UY-CO-Conchillas,,"{""area_sr"": 0.00006, ""area_km2"": 1, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.8, ""side_estim_deg"": 0.0077, ""elongation_factor"": 2.35}"
2872020,858,415,Cufré,CO,CUF,1143273,cufre,UY-CO-Cufre,,"{""area_sr"": 0.00005, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.0069, ""elongation_factor"": 2.2}"
3625163,858,380,"El Cerro",CO,,-3625163,el.cerro,UY-CO-ElCerro,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.0041, ""elongation_factor"": 1.77}"
2746086,858,401,"El Ensueño",CO,,-2746086,el.ensueno,UY-CO-ElEnsueno,,"{""area_sr"": 0.00005, ""area_km2"": 1, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.0072, ""elongation_factor"": 0.99}"
3105431,858,383,"El Faro",CO,,-3105431,el.faro,UY-CO-ElFaro,,"{""area_sr"": 0.00017, ""area_km2"": 2, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.3, ""side_estim_deg"": 0.0129, ""elongation_factor"": 2.25}"
3626827,858,406,"El Quinton",CO,,-3626827,el.quinton,UY-CO-ElQuinton,,"{""area_sr"": 0, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.2, ""side_estim_deg"": 0.002, ""elongation_factor"": 1.6}"
5616683,858,408,"El Semillero",CO,SLL,984782,el.semillero,UY-CO-ElSemillero,,"{""area_sr"": 0.00005, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.0068, ""elongation_factor"": 2.43}"
2887117,858,352,"Florencio Sánchez",CO,,-2887117,florencio.sanchez,UY-CO-FlorencioSanchez,,"{""area_sr"": 0.00021, ""area_km2"": 2, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.5, ""side_estim_deg"": 0.0145, ""elongation_factor"": 2.14}"
3626828,858,405,"Juan Carlos Caseros",CO,,-3626828,juan.carlos.caseros,UY-CO-JuanCarlosCaseros,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0026, ""elongation_factor"": 1.83}"
3635545,858,351,"Juan Jackson",CO,,-3635545,juan.jackson,UY-CO-JuanJackson,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.0039, ""elongation_factor"": 3.03}"
2746010,858,433,"Juan Lacaze",CO,JLL,19376502,juan.lacaze,UY-CO-JuanLacaze,,"{""area_sr"": 0.00053, ""area_km2"": 5, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 2.3, ""side_estim_deg"": 0.023, ""elongation_factor"": 2.44}"
2873235,858,407,"La Estanzuela",CO,,-2873235,la.estanzuela,UY-CO-LaEstanzuela,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.6, ""side_estim_deg"": 0.0059, ""elongation_factor"": 1.83}"
2887141,858,411,"La Horqueta",CO,,-2887141,la.horqueta,UY-CO-LaHorqueta,,"{""area_sr"": 0, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.2, ""side_estim_deg"": 0.0019, ""elongation_factor"": 1.4}"
2868204,858,423,"La Paz",CO,LPZ,984839,la.paz,UY-CO-LaPaz,,"{""area_sr"": 0.00008, ""area_km2"": 1, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.9, ""side_estim_deg"": 0.0091, ""elongation_factor"": 1.37}"
