osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3243044,858,276,"Aguas Buenas",DU,ABS,397958,aguas.buenas,UY-DU-AguasBuenas,,
3243065,858,323,Baygorria,DU,,-3243065,baygorria,UY-DU-Baygorria,,
3243130,858,275,Blanquillo,DU,BLL,389098,blanquillo,UY-DU-Blanquillo,,
3244933,858,332,"Carlos Reyles",DU,,-3244933,carlos.reyles,UY-DU-CarlosReyles,,
3244998,858,330,Carmen,DU,VDC,289379,carmen,UY-DU-Carmen,,
3245228,858,329,Centenario,DU,,-3245228,centenario,UY-DU-Centenario,,
3245286,858,204,"Cerro Chato",DU,,-3245286,cerro.chato,UY-DU-CerroChato,,
3245362,858,336,Durazno,DU,DZN,855645,durazno,UY-DU-Durazno,,
3251449,858,333,Feliciano,DU,,-3251449,feliciano,UY-DU-Feliciano,,
3251555,858,278,"La Paloma",DU,,-3251555,la.paloma,UY-DU-LaPaloma,,
3518952,858,274,"Las Palmas",DU,,-3518952,las.palmas,UY-DU-LasPalmas,,
3251718,858,337,"Ombues de Oribe",DU,,-3251718,ombues.oribe,UY-DU-OmbuesOribe,,
1636190,858,331,"Pueblo de Álvarez",DU,,-1636190,pueblo.alvarez,UY-DU-PuebloAlvarez,,
3252064,858,202,"Rossell y Rius",DU,,-3252064,rossell.y.rius,UY-DU-RossellYRius,,
3252244,858,277,"San Jorge",DU,,-3252244,san.jorge,UY-DU-SanJorge,,
3253703,858,334,"Santa Bernardina",DU,,-3253703,santa.bernardina,UY-DU-SantaBernardina,,
3254112,858,200,"Sarandí del Yí",DU,SDY,1784163,sarandi.yi,UY-DU-SarandiYi,,
