osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2622616,858,457,"25 de Agosto",FD,2DA,218465,25.agosto,UY-FD-25Agosto,,
3219221,858,446,"25 de Mayo",FD,,-3219221,25.mayo,UY-FD-25Mayo,,
3226713,858,191,"Alejandro Gallinal",FD,,-3226713,alejandro.gallinal,UY-FD-AlejandroGallinal,,
3224424,858,447,Berrondo,FD,,-3224424,berrondo,UY-FD-Berrondo,,
3224491,858,197,"Capilla del Sauce",FD,CDS,282394,capilla.sauce,UY-FD-CapillaSauce,,
3224748,858,453,Cardal,FD,CAR,958365,cardal,UY-FD-Cardal,,
3224864,858,189,Casupá,FD,CPA,1050009,casupa,UY-FD-Casupa,,
3239892,858,201,"Cerro Chato",FD,CCO,1055823,cerro.chato,UY-FD-CerroChato,,
3227766,858,186,Chamizo,FD,CHZ,681463,chamizo,UY-FD-Chamizo,,
3227794,858,199,"Estación Capilla del Sauce",FD,ECS,743957,estacion.capilla.sauce,UY-FD-EstacionCapillaSauce,,
3228120,858,448,Florida,FD,FDA,842472,florida,UY-FD-Florida,,
3229151,858,188,"Fray Marcos",FD,FMS,1452089,fray.marcos,UY-FD-FrayMarcos,,
3229207,858,340,Goñi,FD,,-3229207,goni,UY-FD-Goni,,
2556966,858,194,Illescas,FD,ILL,1658795,illescas,UY-FD-Illescas,,
3229551,858,452,Independencia,FD,,-3229551,independencia,UY-FD-Independencia,,
3229737,858,343,"La Cruz",FD,LCZ,940362,la.cruz,UY-FD-LaCruz,,
3224787,858,338,"La Fundación",FD,,-3224787,la.fundacion,UY-FD-LaFundacion,,
3229816,858,449,"La Macana",FD,,-3229816,la.macana,UY-FD-LaMacana,,
3229886,858,451,Mendoza,FD,MDZ,986647,mendoza,UY-FD-Mendoza,,
3231449,858,450,"Mendoza Chico",FD,MCO,1010400,mendoza.chico,UY-FD-MendozaChico,,
3231508,858,196,Montecoral,FD,MON,1946004,montecoral,UY-FD-Montecoral,,
3231946,858,208,"Nico Pérez",FD,NPZ,1891873,nico.perez,UY-FD-NicoPerez,,
3231965,858,344,Pintado,FD,,-3231965,pintado,UY-FD-Pintado,,
3237188,858,339,"Polanco del Yí",FD,,-3237188,polanco.yi,UY-FD-PolancoYi,,
3237542,858,198,"Pueblo Ferrer",FD,FER,2117329,pueblo.ferrer,UY-FD-PuebloFerrer,,
3237717,858,341,"Puntas de Maciel",FD,,-3237717,puntas.maciel,UY-FD-PuntasMaciel,,
3237820,858,192,Reboledo,FD,,-3237820,reboledo,UY-FD-Reboledo,,
5862493,858,190,"San Gabriel",FD,,-5862493,san.gabriel,UY-FD-SanGabriel,,
3239500,858,342,"Sarandí Grande",FD,SGE,16302580,sarandi.grande,UY-FD-SarandiGrande,,
3239878,858,206,Valentines,FD,,-3239878,valentines,UY-FD-Valentines,,
