osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2512374,858,171,Aiguá,MA,AIG,404803,aigua,UY-MA-Aigua,,
2453117,858,146,"Arenas de José Ignacio",MA,,-2453117,arenas.jose.ignacio,UY-MA-ArenasJoseIgnacio,,
3333286,858,138,"Asentamiento Mario Benedetti",MA,,-3333286,asentamiento.mario.benedetti,UY-MA-AsentamientoMarioBenedetti,,
6361896,858,120,"Barra de Portezuelo",MA,,-6361896,barra.portezuelo,UY-MA-BarraPortezuelo,,
2520519,858,140,"Barrio Hipódromo",MA,BHO,808940,barrio.hipodromo,UY-MA-BarrioHipodromo,,
2511915,858,137,"Barrio Los Aromos",MA,,-2511915,barrio.aromos,UY-MA-BarrioAromos,,
2452443,858,105,"Bella Vista",MA,BVA,815779,bella.vista,UY-MA-BellaVista,,
2454538,858,127,"Buenos Aires",MA,BAS,805484,buenos.aires,UY-MA-BuenosAires,,
2534357,858,139,"Canteras de Marelli",MA,,-2534357,canteras.marelli,UY-MA-CanterasMarelli,,
2511932,858,135,"Cerro Pelado",MA,CPO,984715,cerro.pelado,UY-MA-CerroPelado,,
2452976,858,106,"Cerros Azules",MA,,-2452976,cerros.azules,UY-MA-CerrosAzules,,
2453014,858,96,Chihuahua,MA,CHI,1072583,chihuahua,UY-MA-Chihuahua,,
2454631,858,94,Edén,MA,,-2454631,eden,UY-MA-Eden,,
2453206,858,143,"Edén Rock",MA,,-2453206,eden.rock,UY-MA-EdenRock,,
2454567,858,125,"El Chorro",MA,ECO,1009497,el.chorro,UY-MA-ElChorro,,
5808131,858,98,"El Pejerrey",MA,,-5808131,el.pejerrey,UY-MA-ElPejerrey,,
2454689,858,130,"El Tesoro",MA,,-2454689,el.tesoro,UY-MA-ElTesoro,,
2460920,858,104,"Estación Las Flores",MA,,-2460920,estacion.flores,UY-MA-EstacionFlores,,
2454788,858,164,Garzón,MA,GZZ,1009502,garzon,UY-MA-Garzon,,
2455068,858,103,Gerona,MA,,-2455068,gerona,UY-MA-Gerona,,
2455129,858,91,"Gregorio Aznárez",MA,GAZ,957863,gregorio.aznarez,UY-MA-GregorioAznarez,,
2453191,858,145,"José Ignacio",MA,,-2453191,jose.ignacio,UY-MA-JoseIgnacio,,
2455145,858,124,"La Barra",MA,,-2455145,la.barra,UY-MA-LaBarra,,
2455191,858,99,"La Capuera",MA,,-2455191,la.capuera,UY-MA-LaCapuera,,
2460803,858,133,"La Sonrisa",MA,LSA,987077,la.sonrisa,UY-MA-LaSonrisa,,
2455146,858,129,"Laguna Blanca",MA,,-2455146,laguna.blanca,UY-MA-LagunaBlanca,,
2460856,858,95,"Las Cumbres",MA,,-2460856,las.cumbres,UY-MA-LasCumbres,,
2452411,858,113,"Las FLores",MA,LFS,582146,las.flores,UY-MA-LasFlores,,
2460941,858,122,"Los Corchos",MA,,-2460941,los.corchos,UY-MA-LosCorchos,,
3241301,858,170,"Los Talas",MA,,-3241301,los.talas,UY-MA-LosTalas,,
2473675,858,134,Maldonado,MA,,-2473675,maldonado,UY-MA-Maldonado,,
2454607,858,128,Manantiales,MA,,-2454607,manantiales,UY-MA-Manantiales,,
2461063,858,92,"Nueva Carrara",MA,,-2461063,nueva.carrara,UY-MA-NuevaCarrara,,
2511687,858,97,"Ocean Park",MA,OPK,987073,ocean.park,UY-MA-OceanPark,,
2461334,858,102,"Pan de Azúcar",MA,PDA,1532147,pan.azucar,UY-MA-PanAzucar,,
2461385,858,141,"Parque Medina",MA,,-2461385,parque.medina,UY-MA-ParqueMedina,,
2461943,858,132,"Pinares - Las Delicias",MA,PIE,1009696,pinares..delicias,UY-MA-PinaresDelicias,,
2451543,858,117,Piriápolis,MA,PIR,1006155,piriapolis,UY-MA-Piriapolis,,
2451566,858,115,"Playa Grande",MA,PGE,984849,playa.grande,UY-MA-PlayaGrande,,
2451567,858,116,"Playa Hermosa",MA,PHA,1005765,playa.hermosa,UY-MA-PlayaHermosa,,
2452401,858,114,"Playa Verde",MA,PVE,984693,playa.verde,UY-MA-PlayaVerde,,
2470386,858,121,"Punta Ballena",MA,,-2470386,punta.ballena,UY-MA-PuntaBallena,,
2451137,858,118,"Punta Colorada",MA,PCA,1891624,punta.colorada,UY-MA-PuntaColorada,,
2470435,858,123,"Punta Del Este",MA,PDE,6031119,punta.este,UY-MA-PuntaEste,,
2451393,858,119,"Punta Negra",MA,PNA,987098,punta.negra,UY-MA-PuntaNegra,,
2504442,858,101,"Ruta 37 y 9",MA,,-2504442,ruta.37.y.9,UY-MA-Ruta37Y9,,
2506638,858,142,"San Carlos",MA,SCS,374670,san.carlos,UY-MA-SanCarlos,,
2473247,858,131,"San Rafael - El Placer",MA,,-2473247,san.rafael..placer,UY-MA-SanRafaelPlacer,,
2454386,858,126,"San Vicente",MA,,-2454386,san.vicente,UY-MA-SanVicente,,
2507242,858,144,"Santa Mónica",MA,,-2507242,santa.monica,UY-MA-SantaMonica,,
2511674,858,100,"Sauce de Portezuelo",MA,SDP,1010378,sauce.portezuelo,UY-MA-SaucePortezuelo,,
2452580,858,112,Solís,MA,SOL,943708,solis,UY-MA-Solis,,
2511888,858,136,"Villa Delia",MA,VDA,987082,villa.delia,UY-MA-VillaDelia,,
