osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3325803,858,294,Alonso,PA,,-3325803,alonso,UY-PA-Alonso,,"{""area_sr"": 0, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.2, ""side_estim_deg"": 0.0019, ""elongation_factor"": 2.07}"
3335346,858,513,Araújo,PA,,-3335346,araujo,UY-PA-Araujo,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.0038, ""elongation_factor"": 0.93}"
3299836,858,288,Arbolito,PA,,-3299836,arbolito,UY-PA-Arbolito,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.6, ""side_estim_deg"": 0.0061, ""elongation_factor"": 1.99}"
3299880,858,314,Beisso,PA,,-3299880,beisso,UY-PA-Beisso,,"{""area_sr"": 0.00006, ""area_km2"": 1, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.8, ""side_estim_deg"": 0.0076, ""elongation_factor"": 2.28}"
3299970,858,520,"Bella Vista",PA,,-3299970,bella.vista,UY-PA-BellaVista,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.003, ""elongation_factor"": 1.41}"
3301403,858,390,Casablanca,PA,,-3301403,casablanca,UY-PA-Casablanca,,"{""area_sr"": 0.00005, ""area_km2"": 1, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.007, ""elongation_factor"": 2.25}"
3301341,858,524,"Cañada del Pueblo",PA,,-3301341,canada.pueblo,UY-PA-CanadaPueblo,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.005, ""elongation_factor"": 1.39}"
3303215,858,516,"Cerro Chato",PA,,-3303215,cerro.chato,UY-PA-CerroChato,,"{""area_sr"": 0.00042, ""area_km2"": 4, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0204, ""elongation_factor"": 1.45}"
3310118,858,305,"Chacras de Paysandú",PA,CDP,1005309,chacras.paysandu,UY-PA-ChacrasPaysandu,,"{""area_sr"": 0.01271, ""area_km2"": 133, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1127, ""elongation_factor"": 1.93}"
3310576,858,518,Chapicuy,PA,CHY,1004922,chapicuy,UY-PA-Chapicuy,,"{""area_sr"": 0.00005, ""area_km2"": 1, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.0073, ""elongation_factor"": 1.01}"
