osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3299464,858,310,Algorta,RN,ATA,1007589,algorta,UY-RN-Algorta,,
2708240,858,370,"Barrio Anglo",RN,BAO,808944,barrio.anglo,UY-RN-BarrioAnglo,,
2721056,858,321,Bellaco,RN,,-2721056,bellaco,UY-RN-Bellaco,,
2734922,858,368,"Fray Bentos",RN,,-2734922,fray.bentos,UY-RN-FrayBentos,,
2740452,858,322,Grecco,RN,,-2740452,grecco,UY-RN-Grecco,,
2740503,858,369,"Las Cañas",RN,,-2740503,las.canas,UY-RN-LasCanas,,
2741822,858,367,"Los Arrayanes",RN,,-2741822,los.arrayanes,UY-RN-LosArrayanes,,
2742601,858,318,Menafra,RN,,-2742601,menafra,UY-RN-Menafra,,
3299437,858,296,Merinos,RN,,-3299437,merinos,UY-RN-Merinos,,
2743657,858,388,"Nuevo Berlín",RN,NBN,11313227,nuevo.berlin,UY-RN-NuevoBerlin,,
2743767,858,315,"Paso de los Mellizos",RN,,-2743767,paso.mellizos,UY-RN-PasoMellizos,,
2745344,858,389,"San Javier",RN,SJR,518618,san.javier,UY-RN-SanJavier,,
3299399,858,325,"Sarandí de Navarro",RN,,-3299399,sarandi.navarro,UY-RN-SarandiNavarro,,
2745380,858,319,"Tres Quintas",RN,,-2745380,tres.quintas,UY-RN-TresQuintas,,
2745479,858,317,"Villa General Borges",RN,,-2745479,villa.general.borges,UY-RN-VillaGeneralBorges,,
2745478,858,316,"Villa María",RN,,-2745478,villa.maria,UY-RN-VillaMaria,,
2705120,858,320,Young,RN,YOU,1005607,young,UY-RN-Young,,
