osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2601817,858,226,"18 de Julio",RO,,-2601817,18.julio,UY-RO-18Julio,,
2601941,858,167,"19 de Abril",RO,1DA,208905,19.abril,UY-RO-19Abril,,
2603401,858,38,"Aguas Dulces",RO,ADS,397984,aguas.dulces,UY-RO-AguasDulces,,
2602872,858,152,Arachania,RO,ACH,624505,arachania,UY-RO-Arachania,,
2602882,858,40,"Barra de Valizas",RO,BDV,808782,barra.valizas,UY-RO-BarraValizas,,
2604159,858,228,"Barra del Chuy",RO,BDC,808783,barra.chuy,UY-RO-BarraChuy,,
2606670,858,224,"Barrio Pereira",RO,,-2606670,barrio.pereira,UY-RO-BarrioPereira,,
2606722,858,35,"Barrio Torres",RO,,-2606722,barrio.torres,UY-RO-BarrioTorres,,
2608305,858,41,"Cabo Polonio",RO,CPO,1024895,cabo.polonio,UY-RO-CaboPolonio,,
2606691,858,223,Capacho,RO,,-2606691,capacho,UY-RO-Capacho,,
2606961,858,36,Castillos,RO,,953667,castillos,UY-RO-Castillos,,
2608334,858,231,Cebollatí,RO,,1022303,cebollati,UY-RO-Cebollati,,
2608352,858,227,Chuy,RO,,-2608352,chuy,UY-RO-Chuy,,
13715770,858,151,"Diamante de La Pedrera",RO,,-13715770,diamante.la.pedrera,UY-RO-DiamanteLaPedrera,,
13715767,858,159,"El Palenque",RO,,-13715767,el.palenque,UY-RO-ElPalenque,,
13715769,858,156,"El Tri{angulo",RO,,-13715769,el.tri{angulo,UY-RO-ElTri{Angulo,,
2573030,858,147,"La Aguada - Costa Azul",RO,LAD,922511,la.aguada..costa.azul,UY-RO-LaAguadaCostaAzul,,
2606177,858,222,"La Coronilla",RO,LCA,1020391,la.coronilla,UY-RO-LaCoronilla,,
2608745,858,37,"La Esmeralda",RO,LEA,984724,la.esmeralda,UY-RO-LaEsmeralda,,
2603661,858,148,"La Paloma",RO,LPA,893173,la.paloma,UY-RO-LaPaloma,,
2603899,858,149,"La Pedrera",RO,,-2603899,la.pedrera,UY-RO-LaPedrera,,
2609127,858,163,"La Riviera",RO,LRI,1799079,la.riviera,UY-RO-LaRiviera,,
2609816,858,216,Lascano,RO,LNO,12184499,lascano,UY-RO-Lascano,,
13715766,858,158,"Mar del Plata",RO,,-13715766,mar.plata,UY-RO-MarPlata,,
3347939,858,42,"Oceanía del Polonio",RO,,-3347939,oceania.polonio,UY-RO-OceaniaPolonio,,
2609930,858,230,"Palmares de la Coronilla",RO,,-2609930,palmares.la.coronilla,UY-RO-PalmaresLaCoronilla,,
2609894,858,168,Parallé,RO,,-2609894,paralle,UY-RO-Paralle,,
3349239,858,39,"Puente Valizas",RO,,-3349239,puente.valizas,UY-RO-PuenteValizas,,
2609142,858,162,"Puerto de los Botes",RO,,-2609142,puerto.botes,UY-RO-PuertoBotes,,
2605756,858,229,Puimayen,RO,PMY,984692,puimayen,UY-RO-Puimayen,,
2603943,858,153,"Punta Rubia",RO,,-2603943,punta.rubia,UY-RO-PuntaRubia,,
2609931,858,34,"Punta del Diablo",RO,PDD,1749947,punta.diablo,UY-RO-PuntaDiablo,,
2615970,858,166,Rocha,RO,RCH,1017387,rocha,UY-RO-Rocha,,
2604054,858,157,"San Antonio",RO,,-2604054,san.antonio,UY-RO-SanAntonio,,
3347952,858,160,"San Bernardo de Rocha",RO,,-3347952,san.bernardo.rocha,UY-RO-SanBernardoRocha,,
13715768,858,161,"San Francisco",RO,,-13715768,san.francisco,UY-RO-SanFrancisco,,
2616306,858,225,"San Luis al Medio",RO,,-2616306,san.luis.al.medio,UY-RO-SanLuisAlMedio,,
11018415,858,150,"San Sebastián de La Pedrera",RO,,-11018415,san.sebastian.la.pedrera,UY-RO-SanSebastianLaPedrera,,
3574049,858,154,"Santa Isabel de la Pedrera",RO,,-3574049,santa.isabel.la.pedrera,UY-RO-SantaIsabelLaPedrera,,
2603982,858,155,"Tajamares de La Pedrera",RO,,-2603982,tajamares.la.pedrera,UY-RO-TajamaresLaPedrera,,
2616391,858,169,Velázquez,RO,,-2616391,velazquez,UY-RO-Velazquez,,
