osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
4143619,858,15,Amarillo,RV,,-4143619,amarillo,UY-RV-Amarillo,,
4145678,858,28,"Arroyo Blanco",RV,,-4145678,arroyo.blanco,UY-RV-ArroyoBlanco,,
4145763,858,7,Cerrillada,RV,,-4145763,cerrillada,UY-RV-Cerrillada,,
4143715,858,14,"Cerro Pelado",RV,,-4143715,cerro.pelado,UY-RV-CerroPelado,,
4147935,858,13,"Cerros de la Calera",RV,,-4147935,cerros.la.calera,UY-RV-CerrosLaCalera,,
4149456,858,5,"La Pedrera",RV,,-4149456,la.pedrera,UY-RV-LaPedrera,,
4161061,858,6,"Lagos del Norte",RV,,-4161061,lagos.norte,UY-RV-LagosNorte,,
4162210,858,2,Lagunón,RV,LAG,984691,lagunon,UY-RV-Lagunon,,
4164859,858,8,Lapuente,RV,LTE,613090,lapuente,UY-RV-Lapuente,,
4099189,858,25,"Las Flores",RV,,-4099189,las.flores,UY-RV-LasFlores,,
4149669,858,4,Mandubí,RV,,-4149669,mandubi,UY-RV-Mandubi,,
4166642,858,533,Masoller,RV,MLL,1004963,masoller,UY-RV-Masoller,,
4169217,858,16,"Minas de Corrales",RV,MDC,17068756,minas.corrales,UY-RV-MinasCorrales,,
4180436,858,29,Moirones,RV,,-4180436,moirones,UY-RV-Moirones,,
3133429,858,9,"Paso Ataques",RV,,-3133429,paso.ataques,UY-RV-PasoAtaques,,
4099804,858,30,"Paso Hospital",RV,HOS,987087,paso.hospital,UY-RV-PasoHospital,,
4162486,858,3,Rivera,RV,,-4162486,rivera,UY-RV-Rivera,,
4149870,858,1,"Santa Teresa",RV,,-4149870,santa.teresa,UY-RV-SantaTeresa,,
4168813,858,10,Tranqueras,RV,TRA,17068420,tranqueras,UY-RV-Tranqueras,,
4099709,858,27,Vichadero,RV,VCH,2093578,vichadero,UY-RV-Vichadero,,
