osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3338503,858,547,Albisu,SA,ASU,2831928,albisu,UY-SA-Albisu,,
3338907,858,511,"Arenitas Blancas",SA,,-3338907,arenitas.blancas,UY-SA-ArenitasBlancas,,
3368971,858,559,Belén,SA,BEL,6027264,belen,UY-SA-Belen,,
3368998,858,541,Biassini,SA,,-3368998,biassini,UY-SA-Biassini,,
3424217,858,519,"Campo de Todos",SA,,-3424217,campo.todos,UY-SA-CampoTodos,,
3372997,858,537,Cayetano,SA,,-3372997,cayetano,UY-SA-Cayetano,,
3369011,858,543,Celeste,SA,CTE,1052863,celeste,UY-SA-Celeste,,
3369078,858,529,"Cerros de Vera",SA,,-3369078,cerros.vera,UY-SA-CerrosVera,,
3368972,858,560,"Chacras de Belén",SA,,-3368972,chacras.belen,UY-SA-ChacrasBelen,,
3369121,858,551,"Colonia 18 de Julio",SA,C1J,644348,colonia.18.julio,UY-SA-Colonia18Julio,,
3369133,858,545,"Colonia Itapebí",SA,CII,1110740,colonia.itapebi,UY-SA-ColoniaItapebi,,
3369155,858,557,Constitución,SA,CON,1128223,constitucion,UY-SA-Constitucion,,
3369439,858,534,"Cuchilla de Guaviyú",SA,,-3369439,cuchilla.guaviyu,UY-SA-CuchillaGuaviyu,,
3369540,858,553,Garibaldi,SA,,-3369540,garibaldi,UY-SA-Garibaldi,,
3369545,858,535,"Guaviyú de Arapey",SA,,-3369545,guaviyu.arapey,UY-SA-GuaviyuArapey,,
3424018,858,539,"Las Flores",SA,,-3424018,las.flores,UY-SA-LasFlores,,
2619114,858,546,Laureles,SA,,-2619114,laureles,UY-SA-Laureles,,
3424353,858,538,Olivera,SA,,-3424353,olivera,UY-SA-Olivera,,
3425960,858,550,"Osimani y Llerena",SA,,-3425960,osimani.y.llerena,UY-SA-OsimaniYLlerena,,
3371466,858,556,Palomas,SA,,-3371466,palomas,UY-SA-Palomas,,
3371891,858,554,"Parque José Luis",SA,,-3371891,parque.jose.luis,UY-SA-ParqueJoseLuis,,
3371973,858,530,"Paso Cementerio",SA,,-3371973,paso.cementerio,UY-SA-PasoCementerio,,
3424241,858,528,"Paso de las Piedras de Arerunguá",SA,,-3424241,paso.piedras.arerungua,UY-SA-PasoPiedrasArerungua,,
3424300,858,521,"Paso del Parque del Daymán",SA,,-3424300,paso.parque.dayman,UY-SA-PasoParqueDayman,,
3369479,858,532,"Pueblo Fernández",SA,PFZ,1407441,pueblo.fernandez,UY-SA-PuebloFernandez,,
3424004,858,540,"Pueblo Lavalleja",SA,LLL,6028045,pueblo.lavalleja,UY-SA-PuebloLavalleja,,
3376491,858,544,"Puntas de Valentín",SA,,-3376491,puntas.valentin,UY-SA-PuntasValentin,,
3424080,858,531,Quintana,SA,,-3424080,quintana,UY-SA-Quintana,,
3376536,858,542,"Rincón de Valentín",SA,,1004971,rincon.valentin,UY-SA-RinconValentin,,
3373540,858,536,Russo,SA,,-3373540,russo,UY-SA-Russo,,
3414038,858,549,Salto,SA,,-3414038,salto,UY-SA-Salto,,
3414433,858,552,"San Antonio",SA,SAO,9044322,san.antonio,UY-SA-SanAntonio,,
3414500,858,567,"Sarandí del Arapey",SA,SDY,984869,sarandi.arapey,UY-SA-SarandiArapey,,
3414532,858,555,Saucedo,SA,,-3414532,saucedo,UY-SA-Saucedo,,
3414623,858,558,"Termas del Arapey",SA,TDA,1004925,termas.arapey,UY-SA-TermasArapey,,
3423903,858,548,"Termas del Daymán",SA,TDD,1526733,termas.dayman,UY-SA-TermasDayman,,
