osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2617653,858,459,"18 de Julio",SJ,,-2617653,18.julio,UY-SJ-18Julio,,
2618164,858,434,"Boca del Cufré",SJ,,-2618164,boca.cufre,UY-SJ-BocaCufre,,
2617676,858,455,Capurro,SJ,CAP,85750602,capurro,UY-SJ-Capurro,,
3216674,858,445,"Carreta Quemada",SJ,,-3216674,carreta.quemada,UY-SJ-CarretaQuemada,,
2618354,858,439,"Cañada Grande",SJ,,-2618354,canada.grande,UY-SJ-CanadaGrande,,
2620616,858,484,"Cerámicas del Sur",SJ,,-2620616,ceramicas.sur,UY-SJ-CeramicasSur,,
2690564,858,503,"Ciudad del Plata",SJ,,16302558,ciudad.plata,UY-SJ-CiudadPlata,,
2620639,858,498,"Cololó Tinosa",SJ,,-2620639,cololo.tinosa,UY-SJ-CololoTinosa,,
2621228,858,417,"Ecilda Paullier",SJ,EPR,1281233,ecilda.paullier,UY-SJ-EcildaPaullier,,
3216745,858,442,González,SJ,,-3216745,gonzalez,UY-SJ-Gonzalez,,
2622406,858,456,Ituzaingó,SJ,IZG,615727,ituzaingo,UY-SJ-Ituzaingo,,
2622711,858,441,"Juan Soler",SJ,,-2622711,juan.soler,UY-SJ-JuanSoler,,
2644789,858,501,"Kiyú - Ordeig",SJ,,-2644789,kiyu..ordeig,UY-SJ-KiyuOrdeig,,
2645354,858,438,"La Boyada",SJ,LBA,1670190,la.boyada,UY-SJ-LaBoyada,,
2620713,858,502,Libertad,SJ,LIB,946150,libertad,UY-SJ-Libertad,,
2645535,858,500,Mangrullo,SJ,,-2645535,mangrullo,UY-SJ-Mangrullo,,
2620923,858,495,"Puntas de Valdez",SJ,PDV,423201,puntas.valdez,UY-SJ-PuntasValdez,,
2646731,858,494,"Radial Ruta 3",SJ,,-2646731,radial.ruta.3,UY-SJ-RadialRuta3,,
2646628,858,497,"Rafael Perazza",SJ,RPA,1891613,rafael.perazza,UY-SJ-RafaelPerazza,,
2647011,858,444,Raigón,SJ,RAI,1010391,raigon,UY-SJ-Raigon,,
2647129,858,499,"Rincón del Pino",SJ,,-2647129,rincon.pino,UY-SJ-RinconPino,,
2647330,858,440,Rodríguez,SJ,RDZ,32453,rodriguez,UY-SJ-Rodriguez,,
2692141,858,345,"San Gregorio",SJ,,-2692141,san.gregorio,UY-SJ-SanGregorio,,
2679983,858,443,"San José",SJ,SJM,983435,san.jose,UY-SJ-SanJose,,
2694030,858,416,Scavino,SJ,,-2694030,scavino,UY-SJ-Scavino,,
2688470,858,496,"Villa María",SJ,VMA,1805150,villa.maria,UY-SJ-VillaMaria,,
