osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2745727,858,386,Agraciada,SO,ADA,-2745727,agraciada,UY-SO-Agraciada,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.0066, ""elongation_factor"": 3.12}"
3287306,858,353,Cardona,SO,,-3287306,cardona,UY-SO-Cardona,,"{""area_sr"": 0.00021, ""area_km2"": 2, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.5, ""side_estim_deg"": 0.0146, ""elongation_factor"": 2.72}"
3286173,858,378,"Cañada Nieto",SO,CON,1052104,canada.nieto,UY-SO-CanadaNieto,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.0065, ""elongation_factor"": 1.99}"
3287660,858,375,"Chacras de Dolores",SO,CDD,947532,chacras.dolores,UY-SO-ChacrasDolores,,"{""area_sr"": 0.0027, ""area_km2"": 28, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 5.3, ""side_estim_deg"": 0.052, ""elongation_factor"": 2.48}"
3287776,858,376,"Colonia Concordia",SO,,-3287776,colonia.concordia,UY-SO-ColoniaConcordia,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0033, ""elongation_factor"": 1.23}"
3298554,858,349,"Cuchilla del Perdido",SO,,-3298554,cuchilla.perdido,UY-SO-CuchillaPerdido,,"{""area_sr"": 0, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.2, ""side_estim_deg"": 0.002, ""elongation_factor"": 1.67}"
3287661,858,374,Dolores,SO,DOL,546964,dolores,UY-SO-Dolores,,"{""area_sr"": 0.00045, ""area_km2"": 5, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 2.1, ""side_estim_deg"": 0.0211, ""elongation_factor"": 2.89}"
3289321,858,360,Egaña,SO,EGN,1005720,egana,UY-SO-Egana,,"{""area_sr"": 0.00015, ""area_km2"": 2, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.3, ""side_estim_deg"": 0.0124, ""elongation_factor"": 1.52}"
3289565,858,363,"El Tala",SO,,-3289565,el.tala,UY-SO-ElTala,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0031, ""elongation_factor"": 1.35}"
3289389,858,359,"José Enrique Rodó",SO,,-3289389,jose.enrique.rodo,UY-SO-JoseEnriqueRodo,,"{""area_sr"": 0.00019, ""area_km2"": 2, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.4, ""side_estim_deg"": 0.0136, ""elongation_factor"": 2.62}"
3287935,858,377,"La Concordia",SO,,-3287935,la.concordia,UY-SO-LaConcordia,,"{""area_sr"": 0.00003, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.6, ""side_estim_deg"": 0.0057, ""elongation_factor"": 1.5}"
3289706,858,372,"La Loma",SO,LLA,201731,la.loma,UY-SO-LaLoma,,"{""area_sr"": 0.00288, ""area_km2"": 30, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 5.4, ""side_estim_deg"": 0.0537, ""elongation_factor"": 1.24}"
3298644,858,357,Lares,SO,,-3298644,lares,UY-SO-Lares,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.003, ""elongation_factor"": 1.29}"
3291658,858,373,Mercedes,SO,MER,844914,mercedes,UY-SO-Mercedes,,"{""area_sr"": 0.00107, ""area_km2"": 11, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 3.3, ""side_estim_deg"": 0.0327, ""elongation_factor"": 2.05}"
3291016,858,365,Palmar,SO,PPR,616593,palmar,UY-SO-Palmar,,"{""area_sr"": 0.00007, ""area_km2"": 1, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.9, ""side_estim_deg"": 0.0084, ""elongation_factor"": 3.02}"
3291544,858,362,Palmitas,SO,PAL,489450,palmitas,UY-SO-Palmitas,,"{""area_sr"": 0.00012, ""area_km2"": 1, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.1, ""side_estim_deg"": 0.0112, ""elongation_factor"": 2.59}"
3297776,858,379,"Palo Solo",SO,PSO,984932,palo.solo,UY-SO-PaloSolo,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.0046, ""elongation_factor"": 1.81}"
3298202,858,358,Perseverano,SO,,-3298202,perseverano,UY-SO-Perseverano,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.004, ""elongation_factor"": 1.92}"
3298343,858,355,"Pueblo Castillos",SO,PCS,605136,pueblo.castillos,UY-SO-PuebloCastillos,,"{""area_sr"": 0.00003, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.6, ""side_estim_deg"": 0.0058, ""elongation_factor"": 1.29}"
3289343,858,361,Risso,SO,RSO,985053,risso,UY-SO-Risso,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 0.7, ""side_estim_deg"": 0.0065, ""elongation_factor"": 1.77}"
3298496,858,366,Sacachispas,SO,,-3298496,sacachispas,UY-SO-Sacachispas,,"{""area_sr"": 0.00011, ""area_km2"": 1, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 1.1, ""side_estim_deg"": 0.0106, ""elongation_factor"": 1.71}"
3298445,858,354,"Santa Catalina",SO,SCA,1022310,santa.catalina,UY-SO-SantaCatalina,,"{""area_sr"": 0.00012, ""area_km2"": 1, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 1.1, ""side_estim_deg"": 0.0108, ""elongation_factor"": 1.94}"
3289707,858,371,"Villa Soriano",SO,VSO,1514901,villa.soriano,UY-SO-VillaSoriano,,"{""area_sr"": 0.00016, ""area_km2"": 2, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 1.3, ""side_estim_deg"": 0.0128, ""elongation_factor"": 1.49}"
