osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3541328,858,290,Achar,TA,,-3541328,achar,UY-TA-Achar,,
3556771,858,23,Ansina,TA,,-3556771,ansina,UY-TA-Ansina,,
3557804,858,17,"Balneario Iporá",TA,,-3557804,balneario.ipora,UY-TA-BalnearioIpora,,
3558518,858,327,Cardoso,TA,,-3558518,cardoso,UY-TA-Cardoso,,
3566600,858,326,Chamberlain,TA,,-3566600,chamberlain,UY-TA-Chamberlain,,
3566911,858,285,Clara,TA,,-3566911,clara,UY-TA-Clara,,
3568823,858,253,"Cruz de los Caminos",TA,CCI,5190320,cruz.caminos,UY-TA-CruzCaminos,,
3567146,858,291,"Cuchilla de Peralta",TA,,-3567146,cuchilla.peralta,UY-TA-CuchillaPeralta,,
3567410,858,19,"Cuchilla del Ombú",TA,,-3567410,cuchilla.ombu,UY-TA-CuchillaOmbu,,
3568808,858,289,Curtina,TA,,-3568808,curtina,UY-TA-Curtina,,
3568990,858,283,"La Hilera",TA,,-3568990,la.hilera,UY-TA-LaHilera,,
3569170,858,527,"La Pedrera",TA,,-3569170,la.pedrera,UY-TA-LaPedrera,,
3568877,858,281,"Las Toscas",TA,,-3568877,las.toscas,UY-TA-LasToscas,,
3571565,858,11,Laureles,TA,,-3571565,laureles,UY-TA-Laureles,,
3606549,858,284,"Montevideo Chico",TA,,-3606549,montevideo.chico,UY-TA-MontevideoChico,,
3571600,858,20,"Paso Bonilla",TA,,-3571600,paso.bonilla,UY-TA-PasoBonilla,,
3572216,858,324,"Paso de los Toros",TA,,-3572216,paso.toros,UY-TA-PasoToros,,
3575631,858,12,"Paso del Cerro",TA,,-3575631,paso.cerro,UY-TA-PasoCerro,,
3327059,858,287,"Piedra Sola",TA,,-3327059,piedra.sola,UY-TA-PiedraSola,,
3606756,858,24,"Pueblo de Arriba",TA,,-3606756,pueblo.arriba,UY-TA-PuebloArriba,,
3600466,858,22,"Pueblo del Barro",TA,,-3600466,pueblo.barro,UY-TA-PuebloBarro,,
3606474,858,282,"Puntas de Carretera",TA,,-3606474,puntas.carretera,UY-TA-PuntasCarretera,,
3600505,858,26,"Puntas de Cinco Sauces",TA,,-3600505,puntas.cinco.sauces,UY-TA-PuntasCincoSauces,,
3601153,858,280,"Rincón de Pereira",TA,,-3601153,rincon.pereira,UY-TA-RinconPereira,,
3603640,858,328,"Rincón del Bonete",TA,,-3603640,rincon.bonete,UY-TA-RinconBonete,,
3605805,858,279,"San Gregorio de Polanco",TA,,-3605805,san.gregorio.polanco,UY-TA-SanGregorioPolanco,,
3571953,858,21,"Sauce de Batoví",TA,,-3571953,sauce.batovi,UY-TA-SauceBatovi,,
3569171,858,18,Tacuarembó,TA,,-3569171,tacuarembo,UY-TA-Tacuarembo,,
3327294,858,526,Tambores,TA,,-3327294,tambores,UY-TA-Tambores,,
