osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
3277598,858,234,"Arrocera Bonomo",TT,,-3277598,arrocera.bonomo,UY-TT-ArroceraBonomo,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.2, ""side_estim_deg"": 0.0023, ""elongation_factor"": 0.95}"
3278475,858,240,"Arrocera El Tigre",TT,,-3278475,arrocera.tigre,UY-TT-ArroceraTigre,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0025, ""elongation_factor"": 1.78}"
3283875,858,241,"Arrocera Los Ceibos",TT,,-3283875,arrocera.ceibos,UY-TT-ArroceraCeibos,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.5, ""side_estim_deg"": 0.0044, ""elongation_factor"": 1.89}"
3277599,858,235,"Arrocera Los Teros",TT,,-3277599,arrocera.teros,UY-TT-ArroceraTeros,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0027, ""elongation_factor"": 1.35}"
3277771,858,239,"Arrocera Mini",TT,,-3277771,arrocera.mini,UY-TT-ArroceraMini,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.2, ""side_estim_deg"": 0.0023, ""elongation_factor"": 1.25}"
3277499,858,232,"Arrocera Procipa",TT,,-3277499,arrocera.procipa,UY-TT-ArroceraProcipa,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.0039, ""elongation_factor"": 1.7}"
3277674,858,242,"Arrocera Zapata",TT,,-3277674,arrocera.zapata,UY-TT-ArroceraZapata,,"{""area_sr"": 0.00002, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.4, ""side_estim_deg"": 0.0042, ""elongation_factor"": 2.71}"
3255480,858,237,"Arrozal Treinta y Tres",TT,,-3255480,arrozal.treinta.y.tres,UY-TT-ArrozalTreintaYTres,,"{""area_sr"": 0.00004, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.6, ""side_estim_deg"": 0.0064, ""elongation_factor"": 1.83}"
3255828,858,203,"Cerro Chato",TT,,-3255828,cerro.chato,UY-TT-CerroChato,,"{""area_sr"": 0.00009, ""area_km2"": 1, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 1, ""side_estim_deg"": 0.0095, ""elongation_factor"": 2.53}"
3257767,858,210,"El Bellaco",TT,,-3257767,el.bellaco,UY-TT-ElBellaco,,"{""area_sr"": 0.00001, ""area_km2"": 0, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 0.3, ""side_estim_deg"": 0.0026, ""elongation_factor"": 2.42}"
