osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1617618,858,16603,Artigas,UY,AR,16603,artigas,UY-AR,,"{""area_sr"": 1.13142, ""area_km2"": 12027, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 109.7, ""side_estim_deg"": 1.0637, ""elongation_factor"": 2.07}"
1625171,858,16577,Canelones,UY,CA,16577,canelones,UY-CA,,"{""area_sr"": 0.4442, ""area_km2"": 4523, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 67.3, ""side_estim_deg"": 0.6665, ""elongation_factor"": 1.94}"
1656175,858,16575,"Cerro Largo",UY,CL,16575,cerro.largo,UY-CL,,"{""area_sr"": 1.30838, ""area_km2"": 13644, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 116.8, ""side_estim_deg"": 1.1438, ""elongation_factor"": 2.53}"
1650769,858,16580,Colonia,UY,CO,16580,colonia,UY-CO,,"{""area_sr"": 0.59775, ""area_km2"": 6116, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 78.2, ""side_estim_deg"": 0.7731, ""elongation_factor"": 1.88}"
1646018,858,16591,Durazno,UY,DU,16591,durazno,UY-DU,,"{""area_sr"": 1.18077, ""area_km2"": 12235, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 110.6, ""side_estim_deg"": 1.0866, ""elongation_factor"": 2.61}"
1645684,858,16578,Flores,UY,FS,16578,flores,UY-FS,,"{""area_sr"": 0.49957, ""area_km2"": 5144, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 71.7, ""side_estim_deg"": 0.7068, ""elongation_factor"": 1.61}"
1635164,858,16593,Florida,UY,FD,16593,florida,UY-FD,,"{""area_sr"": 1.01343, ""area_km2"": 10412, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 102, ""side_estim_deg"": 1.0067, ""elongation_factor"": 2.06}"
1635124,858,460435,Lavalleja,UY,LA,460435,lavalleja,UY-LA,,"{""area_sr"": 0.97798, ""area_km2"": 10031, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 100.2, ""side_estim_deg"": 0.9889, ""elongation_factor"": 2.07}"
1635117,858,331196,Maldonado,UY,MA,331196,maldonado,UY-MA,,"{""area_sr"": 0.47175, ""area_km2"": 4803, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 69.3, ""side_estim_deg"": 0.6868, ""elongation_factor"": 2.35}"
1634207,858,16594,Montevideo,UY,MO,16594,montevideo,UY-MO,,"{""area_sr"": 0.05206, ""area_km2"": 528, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 23, ""side_estim_deg"": 0.2282, ""elongation_factor"": 2.63}"
1662387,858,16576,Paysandú,UY,PA,16576,paysandu,UY-PA,,"{""area_sr"": 1.34605, ""area_km2"": 14094, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 118.7, ""side_estim_deg"": 1.1602, ""elongation_factor"": 1.98}"
1627812,858,16609,Rivera,UY,RV,16609,rivera,UY-RV,,"{""area_sr"": 0.88567, ""area_km2"": 9331, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 96.6, ""side_estim_deg"": 0.9411, ""elongation_factor"": 2.45}"
1653142,858,16582,Rocha,UY,RO,16582,rocha,UY-RO,,"{""area_sr"": 1.02897, ""area_km2"": 10548, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 102.7, ""side_estim_deg"": 1.0144, ""elongation_factor"": 2.03}"
1662476,858,16596,"Río Negro",UY,RN,16596,rio.negro,UY-RN,,"{""area_sr"": 0.94424, ""area_km2"": 9811, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 99, ""side_estim_deg"": 0.9717, ""elongation_factor"": 2.68}"
1614733,858,16595,Salto,UY,SA,16595,salto,UY-SA,,"{""area_sr"": 1.346, ""area_km2"": 14204, ""fat_deg_m"": 0.0000097, ""side_estim_km"": 119.2, ""side_estim_deg"": 1.1602, ""elongation_factor"": 1.88}"
1635189,858,16579,"San José",UY,SJ,16579,san.jose,UY-SJ,,"{""area_sr"": 0.49037, ""area_km2"": 5007, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 70.8, ""side_estim_deg"": 0.7003, ""elongation_factor"": 1.8}"
1646600,858,16584,Soriano,UY,SO,16584,soriano,UY-SO,,"{""area_sr"": 0.88585, ""area_km2"": 9129, ""fat_deg_m"": 0.0000099, ""side_estim_km"": 95.5, ""side_estim_deg"": 0.9412, ""elongation_factor"": 1.83}"
1662265,858,16587,Tacuarembó,UY,TA,16587,tacuarembo,UY-TA,,"{""area_sr"": 1.52681, ""area_km2"": 15979, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 126.4, ""side_estim_deg"": 1.2356, ""elongation_factor"": 2.28}"
1640982,858,16610,"Treinta y Tres",UY,TT,16610,treinta.y.tres,UY-TT,,"{""area_sr"": 0.89589, ""area_km2"": 9278, ""fat_deg_m"": 0.0000098, ""side_estim_km"": 96.3, ""side_estim_deg"": 0.9465, ""elongation_factor"": 2.52}"
